ID;TRAILNAME;ACTIVITIES;TRAIL_CLASS;MAP_LABEL;ACCESSIBLE;GeoJSON;geo_point_2d
77;Little Cataraqui Creek CA Trails;WALKING, CROSS-COUNTRY SKIING, SNOWSHOEING;Park Trail;Little Cataraqui Creek CA Trails;No;"{""type"": ""LineString"", ""coordinates"": [[-76.50493565081898, 44.289309196158136], [-76.50486872142844, 44.289248237591785], [-76.50482846809565, 44.28921457741503], [-76.50476515403813, 44.28917768290447], [-76.50465309550157, 44.28916029539693], [-76.50455640623346, 44.28916628498411], [-76.50448405920811, 44.28916134382074], [-76.50441010087643, 44.2891576014254], [-76.50422696162548, 44.28918992700068], [-76.5040794950112, 44.28919496803656], [-76.50386502650375, 44.289216656284175], [-76.50374846635697, 44.289215833211436], [-76.50367256712141, 44.28920032650453], [-76.50364851268213, 44.28915819960702], [-76.503648949763, 44.28911103359243], [-76.50366460656925, 44.28908135262707], [-76.50370934682923, 44.289033603296424], [-76.50380750937458, 44.28897032713135], [-76.5039195092537, 44.28892042083736], [-76.50401023849692, 44.28888241828956], [-76.50411429853791, 44.28883842778326], [-76.5041839523753, 44.28882007525477], [-76.50425865278243, 44.28878809503822], [-76.50438873398538, 44.28870695379555], [-76.50441376034507, 44.2886891475636], [-76.5044323880444, 44.2886827225437], [-76.5044515384636, 44.288679491191075], [-76.50446585167222, 44.288676241630164], [-76.50448500334028, 44.28867301025547], [-76.50450899346694, 44.28866979706458], [-76.50451846697939, 44.28866653022666], [-76.5045376186412, 44.28866329884322], [-76.50455193058791, 44.28866004928812], [-76.50456140407336, 44.28865678154669], [-76.50458075916495, 44.28865685426727], [-76.5045999108199, 44.288653622873476], [-76.50461422401361, 44.28865037329415], [-76.50463337441154, 44.28864714191129], [-76.5046624076473, 44.28864725006446], [-76.50468619433445, 44.2886407336257], [-76.50471986132884, 44.288637555849256], [-76.50476784152238, 44.288631129364525], [-76.50477711156736, 44.28862455839472], [-76.50479626320023, 44.28862132696827], [-76.50482488829448, 44.28861482777562], [-76.5048728684569, 44.288608401247146], [-76.50489665385109, 44.28860188478153], [-76.504954312133, 44.288595493643264], [-76.50498293721922, 44.28858899531137], [-76.50500208882836, 44.2885857638507], [-76.50501135881673, 44.288579191962306], [-76.50503998263548, 44.28857269363281], [-76.50504925261752, 44.28856612174138], [-76.50506376922591, 44.288566176216285], [-76.50507303922723, 44.288559605223], [-76.5050825126666, 44.288556337438884], [-76.50510166425926, 44.28855310596173], [-76.50511597739931, 44.28854985632019], [-76.50512545083465, 44.28854658853256], [-76.50514460244459, 44.28854335794827], [-76.50515387115726, 44.28853678606507], [-76.50516334584128, 44.288533518257864], [-76.50517814086706, 44.28852303017083], [-76.50532163316882, 44.288485435840805], [-76.50546902816106, 44.28844862265976], [-76.50562955569988, 44.28839807498108], [-76.50580351382473, 44.288345412555806], [-76.50590673143493, 44.288268497750934], [-76.50595647168765, 44.288209724088865], [-76.50599601407889, 44.28812719639591], [-76.50603819268116, 44.28803041823205], [-76.50606121954333, 44.28798168308688], [-76.5060750697842, 44.287890448883196], [-76.50608362637094, 44.28780315846518], [-76.50607870399882, 44.2877160466986], [-76.50606132975092, 44.28764703395822], [-76.50603754325029, 44.28758291786187], [-76.50601473811611, 44.2875347871009], [-76.50598315128109, 44.287459650680624], [-76.50598889386015, 44.28736494110848], [-76.50599541817701, 44.28735746453442], [-76.50601968173142, 44.28730612472991], [-76.50605908269642, 44.287264922514154], [-76.5061147094785, 44.287225443744425], [-76.50618401426696, 44.287193533417394], [-76.50631764989478, 44.28713258626793], [-76.5063385029339, 44.28711787945962], [-76.50646378041283, 44.287060046671485], [-76.50661616626479, 44.287007667552], [-76.50667513236404, 44.28699332847243], [-76.50680708799139, 44.28698577613902], [-76.50687503293229, 44.28700618970739], [-76.50696178316075, 44.28703293537197], [-76.50709121018114, 44.287022709781645], [-76.50720973527585, 44.287017270754156], [-76.50730978533143, 44.28702757405991], [-76.50739380771462, 44.28704390024577], [-76.50752435644044, 44.28708673458612], [-76.50764112800088, 44.28711812691247], [-76.50778995379359, 44.2871374721935], [-76.50792020564288, 44.28716868536108], [-76.50809923325315, 44.287208941501184], [-76.5082834553732, 44.28724137989927], [-76.50836822814493, 44.28726711976855], [-76.50845099758267, 44.28726218679871]]}";44.2881089744,-76.5056805196
78;Little Cataraqui Creek CA Trails;WALKING, CROSS-COUNTRY SKIING, SNOWSHOEING;Park Trail;Little Cataraqui Creek CA Trails;No;"{""type"": ""LineString"", ""coordinates"": [[-76.52224030987745, 44.2806672587913], [-76.52240272648275, 44.28073435467391], [-76.52240333513913, 44.28100677315004], [-76.52252639413805, 44.28154075145375], [-76.52258390397724, 44.28227415248028], [-76.52269488927737, 44.283833354197554], [-76.52269467741465, 44.28384630127209], [-76.52269281776135, 44.283859191926524], [-76.52268936367666, 44.283871921870166], [-76.52268434281041, 44.28388438920022], [-76.52267779535448, 44.28389649411608], [-76.52266977372105, 44.28390813971827], [-76.52266034212303, 44.28391923278411], [-76.52264957606012, 44.28392968451394], [-76.52263756171429, 44.28393941124199], [-76.52262439526001, 44.28394833510609], [-76.52261018209435, 44.28395638467099], [-76.52259542085967, 44.283963967594886], [-76.52247901656838, 44.284035287292355], [-76.52237146987379, 44.284113454868375], [-76.52227355882609, 44.28419790484441], [-76.52218599177853, 44.28428802629124], [-76.52209066633935, 44.28436718643203], [-76.52199630747478, 44.284446942013005], [-76.52190292239513, 44.28452728694317], [-76.52176824915189, 44.28461900498673], [-76.5216462022501, 44.284719428632116], [-76.52153786722384, 44.28482766472765], [-76.5212682401996, 44.28508983102536], [-76.52110498753233, 44.285239762317936], [-76.5207574138513, 44.28547064306165], [-76.52067495333434, 44.28551329789927], [-76.52066877626189, 44.28551627107244], [-76.52066246397197, 44.28551905838224], [-76.52065583943627, 44.28552143735083], [-76.52064895418694, 44.28552338947226], [-76.52064186178424, 44.285524899561], [-76.52063461739986, 44.28552595587008], [-76.52062727738777, 44.285526550182496], [-76.52061989884581, 44.285526677875104], [-76.52061253917155, 44.285526337954586], [-76.5206052556158, 44.285525533065176], [-76.52059810483723, 44.28552426946809], [-76.52059114246163, 44.28552255699284], [-76.52058442264922, 44.28552040896074], [-76.52057799767334, 44.285517842081305], [-76.52057191751376, 44.28551487632225], [-76.52056622946797, 44.28551153475418], [-76.5205609777832, 44.28550784337109], [-76.52055620331221, 44.2855038308882], [-76.52055194319556, 44.285499528518564], [-76.5205482305726, 44.285494969730244], [-76.52054509432381, 44.28549018998599], [-76.520542558846, 44.285485226467365], [-76.52054064386263, 44.285480117785504], [-76.52053936427032, 44.285474903680765], [-76.520538730023, 44.285469624713606], [-76.52053870427233, 44.28546432082742], [-76.52049214012447, 44.28365953632286], [-76.52043692596422, 44.283512514554694], [-76.52043239523401, 44.28308777389625], [-76.5204527382686, 44.28287972064422], [-76.52044012185328, 44.28263978368811], [-76.52044272549159, 44.28261849348255], [-76.52044771163685, 44.28259741360508], [-76.52045519541528, 44.282576703250605], [-76.52046512149862, 44.28255651553271], [-76.52047741650239, 44.282536999701094], [-76.5204919895285, 44.28251830003812], [-76.52050873283717, 44.28250055479215], [-76.52052752264359, 44.28248389515546], [-76.52054822003292, 44.28246844429429], [-76.52057067198746, 44.282454316438304], [-76.52059471251778, 44.28244161603608], [-76.52062016388999, 44.28243043698287], [-76.52064683793971, 44.28242086192646], [-76.52067425296201, 44.28241236082456]]}";44.2835452496,-76.5215719862
79;Little Cataraqui Creek CA Trails;WALKING, CROSS-COUNTRY SKIING, SNOWSHOEING;Park Trail;Little Cataraqui Creek CA Trails;No;"{""type"": ""LineString"", ""coordinates"": [[-76.52475651140473, 44.27837715569442], [-76.52475392588464, 44.27837236020668], [-76.52475092955541, 44.27836768975148], [-76.52474753405707, 44.278363162472196], [-76.52463789881067, 44.278254687101864], [-76.52453881535851, 44.27816370041242], [-76.52414696080743, 44.27785985004493], [-76.52413047113996, 44.27783621219802], [-76.52412413328112, 44.27781451855894], [-76.5241143790776, 44.27777211773112], [-76.52406043591792, 44.277624889751586], [-76.52399069766295, 44.27750457537119], [-76.52395056249958, 44.27741257645118], [-76.5239272988883, 44.277353271805694]]}";44.2779034094,-76.5242883368
80;Little Cataraqui Creek CA Trails;WALKING, CROSS-COUNTRY SKIING, SNOWSHOEING;Park Trail-Driveway;Little Cataraqui Creek CA Trails;Yes;"{""type"": ""LineString"", ""coordinates"": [[-76.5062034618712, 44.28069647968218], [-76.5062796891129, 44.28104584070249], [-76.50643314539978, 44.28148979195555], [-76.50655710248475, 44.28192979267472]]}";44.2813146877,-76.5063738113
81;Little Cataraqui Creek CA Trails;WALKING, CROSS-COUNTRY SKIING, SNOWSHOEING;Park Trail-Driveway;Little Cataraqui Creek CA Trails;Yes;"{""type"": ""LineString"", ""coordinates"": [[-76.50902190547794, 44.28228958704856], [-76.50895682547873, 44.28240453360015], [-76.50796065795983, 44.282919152615165], [-76.50762481267108, 44.28306923495656]]}";44.282711607,-76.5083508563
82;Little Cataraqui Creek CA Trails;WALKING, CROSS-COUNTRY SKIING, SNOWSHOEING;Park Trail;Little Cataraqui Creek CA Trails;No;"{""type"": ""LineString"", ""coordinates"": [[-76.52784290403937, 44.27577833608555], [-76.52784139299594, 44.27582891797759], [-76.52785902696152, 44.27588661629391], [-76.52786344686963, 44.27593289643953], [-76.52779590318022, 44.27618870339771], [-76.52774532144015, 44.27647673106903], [-76.52771781042252, 44.276535034200165], [-76.52768652700742, 44.2765725260662], [-76.5276168485743, 44.27662211924328], [-76.52754705013069, 44.27666708554752], [-76.52749362480955, 44.27672109779457], [-76.52745027904493, 44.276791199488756], [-76.52740534672876, 44.27692388323267], [-76.52740684608162, 44.27698179829369], [-76.52740524589863, 44.277044382342275], [-76.52737182322797, 44.27712362346507], [-76.52732669798205, 44.27724936034699], [-76.52731894643601, 44.27732361259795], [-76.52728856144645, 44.27739585466176], [-76.52725567722865, 44.27749594035898], [-76.52725079878437, 44.27755625447266], [-76.52725235942971, 44.277616491480245], [-76.52726372201678, 44.2776812240414], [-76.52726450224391, 44.277711338494484], [-76.5272491601989, 44.27774166764724], [-76.5272174556929, 44.27776294163097], [-76.52716025840625, 44.27779615414186], [-76.52710323951543, 44.27783630373898], [-76.52707219520173, 44.27788306620656], [-76.52706682522435, 44.27792484973635], [-76.52708134721041, 44.277987226300716], [-76.52708869760885, 44.27802188943871], [-76.52726476456071, 44.27821882060543], [-76.52728317776669, 44.278306634351715], [-76.52727213538682, 44.27837861682844], [-76.5272703565327, 44.27843426195002], [-76.52726797720948, 44.27846673151826], [-76.52727842717587, 44.2784967166544], [-76.52729205046303, 44.278524344685216], [-76.52729324965368, 44.27857067600685], [-76.52729177069699, 44.278637894952944], [-76.52727410929715, 44.27870301654007], [-76.52725614650151, 44.278756555315056], [-76.52718450596483, 44.27885483557466], [-76.5271435502148, 44.27889246562164], [-76.5271059937075, 44.27893699240091], [-76.52703607089376, 44.27897732530547], [-76.52697505367684, 44.278987403412145], [-76.52694017654832, 44.27901104340399], [-76.52690495071194, 44.279020787441866], [-76.52688577727676, 44.27902799318645], [-76.5268380095387, 44.27905180638846], [-76.52680278488978, 44.279061549478605], [-76.52677759124214, 44.279085059963194], [-76.52675902909154, 44.27911543209204], [-76.52674045439484, 44.279145804385436], [-76.52669274513282, 44.2791719296108], [-76.52666085995011, 44.279186264551406], [-76.5265525531368, 44.27923868718934], [-76.52647933985837, 44.27927673916382], [-76.52635137824494, 44.27931784557932], [-76.52624934280404, 44.279363241912755], [-76.52613093195623, 44.279399583908116], [-76.52607026037485, 44.27942356742007], [-76.52597770430849, 44.279461878437374], [-76.5258821660225, 44.27950950139563], [-76.52581225645886, 44.279549823467555], [-76.52576812717331, 44.279589810083394], [-76.52571689796852, 44.27960440319002], [-76.525671930263, 44.2796119533217], [-76.52563007344618, 44.27961482714352], [-76.5256045194144, 44.27962444067732], [-76.52557907259792, 44.27963868120624], [-76.52553172353927, 44.27967871074035], [-76.5254879060294, 44.279730270917305], [-76.52544712841977, 44.27977484917425], [-76.52539965921565, 44.27981024372203], [-76.52531337141642, 44.279841519274186], [-76.52512491631583, 44.2799135562123], [-76.52500753488837, 44.2799892713377], [-76.52489312063953, 44.28005568355596], [-76.52476971445509, 44.28013589934246]]}";44.2782944102,-76.5267767104
83;Little Cataraqui Creek CA Trails;WALKING, CROSS-COUNTRY SKIING, SNOWSHOEING;Park Trail;Little Cataraqui Creek CA Trails;No;"{""type"": ""LineString"", ""coordinates"": [[-76.52476971445509, 44.28013589934246], [-76.52479879239449, 44.28001053893193], [-76.5248025369708, 44.27998767628197], [-76.52480805526044, 44.27986624961503], [-76.52480597721569, 44.279674403108956], [-76.52479748002715, 44.279568721614645], [-76.5247902561036, 44.27953808290693], [-76.52478080009521, 44.27950775940633], [-76.52476913815828, 44.27947783497972], [-76.52469886907487, 44.27932837470015], [-76.52467282749754, 44.27927064412236], [-76.52464650225848, 44.27920150874521], [-76.52463687769661, 44.27916285773149], [-76.52463292693572, 44.27912363436264], [-76.52463362474624, 44.27908428161242], [-76.52463811946207, 44.27904500296453], [-76.52468562094454, 44.27887220386957], [-76.52474048294998, 44.27870448229691], [-76.52474680812749, 44.27867452541933], [-76.52475084487942, 44.27864436495879], [-76.52475258114212, 44.278614091074566], [-76.52476298327137, 44.27840237127493], [-76.5247624845429, 44.27839593086353], [-76.52476127873372, 44.278389543276994], [-76.52475938122845, 44.278383247427506], [-76.52475651140473, 44.27837715569442]]}";44.2792559262,-76.5247390382
84;Little Cataraqui Creek CA Trails;WALKING, CROSS-COUNTRY SKIING, SNOWSHOEING;Park Trail;Little Cataraqui Creek CA Trails;No;"{""type"": ""LineString"", ""coordinates"": [[-76.50386172963736, 44.29001869684056], [-76.50381958217473, 44.29022304256852], [-76.50380107579917, 44.29042880538603], [-76.50381369546692, 44.29063453280095], [-76.50382634323232, 44.2906535573567], [-76.50384109053121, 44.29067178534217], [-76.50385784085371, 44.290689097466775], [-76.50387648458114, 44.290705380433494]]}";44.2903713083,-76.5038226673
85;Little Cataraqui Creek CA Trails;WALKING, CROSS-COUNTRY SKIING, SNOWSHOEING;Park Trail;Little Cataraqui Creek CA Trails;No;"{""type"": ""LineString"", ""coordinates"": [[-76.50387648458114, 44.290705380433494], [-76.50383286987993, 44.290777629177875], [-76.50381931803578, 44.29093505502181], [-76.5038186431098, 44.29109259734378], [-76.50383659662072, 44.29124943554157], [-76.50386659914223, 44.29138710990595], [-76.50388770245, 44.29152563379665], [-76.50389986129379, 44.29166471059914], [-76.50390170224689, 44.29169169862805], [-76.5039001518702, 44.29171872556187], [-76.50389551421871, 44.29174558901506], [-76.50388782071457, 44.29177210697596], [-76.50387832627824, 44.291798387531784], [-76.5038678994991, 44.291840513631804], [-76.50386139537392, 44.291882961657265], [-76.503860246216, 44.29192562428354], [-76.50386446141054, 44.291968153084284], [-76.50387400653197, 44.29201020072606], [-76.50389032012755, 44.29205108060315], [-76.50391704746099, 44.29211423165912], [-76.50393402038624, 44.29217920820051], [-76.50394391088727, 44.29224498001791], [-76.50394685302419, 44.292311150270876], [-76.50394355681503, 44.292368301403215], [-76.5039443161423, 44.292425443932935], [-76.50395122219663, 44.29248231473472], [-76.50395255796262, 44.29249848031598], [-76.50395178045511, 44.29251468355474], [-76.5039490905018, 44.292530792961], [-76.50394450755114, 44.29254669206331], [-76.50393806473797, 44.29256226591076], [-76.503929808644, 44.292577401904005], [-76.50391979896101, 44.292591990609424], [-76.50390810805926, 44.29260592655029], [-76.5038948204643, 44.29261910896938], [-76.50388003224576, 44.29263144255747], [-76.50386385032289, 44.292642838142385], [-76.50384639169137, 44.29265321333375], [-76.50382832880386, 44.29266311814483], [-76.50376735519683, 44.29268051112314], [-76.50370822000204, 44.29270080352379], [-76.50365191591293, 44.29272493915939], [-76.50359892999116, 44.292752709243274], [-76.5035497205944, 44.29278387354878], [-76.50350238915759, 44.29281673093972], [-76.50315983923542, 44.293145059132215], [-76.50283656633226, 44.29348332148872], [-76.50253312848906, 44.293830934450654], [-76.50243456408211, 44.29395822432857], [-76.50235362155674, 44.29409177036228], [-76.50229106158693, 44.29423031772858], [-76.502288769251, 44.29424065809142], [-76.50228740532116, 44.29425106379762], [-76.50228730559316, 44.29426150728953], [-76.50228847082333, 44.294271909365214], [-76.50229089217471, 44.29428219113685], [-76.50229455128415, 44.29429227462895], [-76.50229942040147, 44.29430208336978], [-76.50230546259999, 44.29431154297125], [-76.50231263205656, 44.29432058169313], [-76.50232087439906, 44.29432913098703], [-76.50233012711874, 44.294337126016366], [-76.50234032004431, 44.29434450614797], [-76.5023513758741, 44.29435121541201], [-76.50236358679288, 44.294356784424856], [-76.50270960806215, 44.29455530915225], [-76.50301315064061, 44.294718554684096], [-76.50302341366333, 44.29473456772028], [-76.50303076072038, 44.294751421705385], [-76.50303596485067, 44.29476869519289], [-76.50303898397105, 44.294786248500905], [-76.50303979366744, 44.29480393968476], [-76.50303838739224, 44.29482162568487], [-76.50303477651727, 44.294839163483545], [-76.50302899024186, 44.29485641126154], [-76.50302107535664, 44.29487322954486], [-76.50301197507788, 44.29488979118982], [-76.50259870692274, 44.29531532009228], [-76.50258668250333, 44.29532952797296], [-76.50257540716636, 44.29534398258657], [-76.50256588121621, 44.2953590648518], [-76.50255817414187, 44.29537466474802], [-76.50255234216411, 44.29539066847863], [-76.5025484278255, 44.29540695930118], [-76.50254645967998, 44.295423418378995], [-76.50254645208456, 44.29543992564798], [-76.50254840509467, 44.29545636069255], [-76.50255230446366, 44.295472603623935], [-76.50255812174682, 44.2954885359548], [-76.50256581450878, 44.29550404146354], [-76.50257617396052, 44.29551869275182], [-76.50264258660324, 44.295585032384665], [-76.50269561495345, 44.29565747580024], [-76.50273895481428, 44.29573321953737], [-76.5027722276654, 44.295811602067786], [-76.50279360377421, 44.29589212142035], [-76.50279606574624, 44.29591151224198], [-76.50279581510479, 44.29593100850134], [-76.50279315924638, 44.29595042730211], [-76.50278811909678, 44.295969615641496], [-76.50278073436786, 44.29598842233254], [-76.50277106324471, 44.29600669919532], [-76.5027591819271, 44.296024302224495], [-76.50274518402924, 44.296041092723925], [-76.502729179842, 44.29605693839949], [-76.50271226794983, 44.29607237758517], [-76.50268206040433, 44.29619223172905], [-76.50264005700502, 44.29628436790137], [-76.50258046142619, 44.29633890777892], [-76.5023205492639, 44.296473729801534], [-76.50230559398311, 44.29648634845067], [-76.5022913840839, 44.29649933094062], [-76.50227881946539, 44.29651315653444], [-76.50226799889643, 44.296527716550855], [-76.50225900743618, 44.29654289653541], [-76.50225191576537, 44.296558577160155], [-76.50224677963075, 44.29657463516166], [-76.50224363940681, 44.29659094430999], [-76.50224251977848, 44.29660737640098], [-76.502243429547, 44.29662380226402], [-76.5022463615608, 44.29664009277746], [-76.50225129277167, 44.29665611988362], [-76.50225818441602, 44.296671757595426], [-76.50226698231947, 44.29668688298679], [-76.5022776173228, 44.296701377158904], [-76.5022900058256, 44.2967151261749], [-76.50230405044339, 44.296728021955495], [-76.5023196407732, 44.29673996312857], [-76.5023366542614, 44.29675085582606], [-76.5023555709682, 44.29675996564672], [-76.50251421462288, 44.29684216790679], [-76.50265543622089, 44.29693957134827], [-76.50278340614621, 44.29704601577947], [-76.50289702877511, 44.29716058986873], [-76.50299533131928, 44.29728231268176], [-76.50307747215444, 44.29741014207993], [-76.50313791185056, 44.29754405914498], [-76.5031589832067, 44.29763436054902], [-76.50319247777958, 44.29772267198249], [-76.50323653650563, 44.29780849459086], [-76.50329082712446, 44.29789118115952], [-76.5033549402139, 44.297970108123714], [-76.50343337837299, 44.298041889442075], [-76.50354387790314, 44.29812572879944], [-76.50364335424491, 44.29821640904681], [-76.50373099021074, 44.298313185302106], [-76.50380606586357, 44.298415262604784], [-76.50388779280681, 44.298557307223945], [-76.50398293575041, 44.29869497637064], [-76.50409104375825, 44.29882761742132], [-76.5041341041368, 44.29887698381032], [-76.50417243398084, 44.298928322162105], [-76.5042058589807, 44.29898139902581], [-76.5042136967758, 44.29899309049522], [-76.5042235289053, 44.299003981672165], [-76.50423463789862, 44.29901421554585], [-76.50424694117238, 44.29902371603846], [-76.50426034726502, 44.29903241252409], [-76.5042747565167, 44.29904024035375], [-76.50429006181018, 44.29904714133596], [-76.50430614936711, 44.299053064169385], [-76.50432289959387, 44.29905796482412], [-76.50434018797058, 44.299061806869105], [-76.50435788597682, 44.299064561742874], [-76.50437586204701, 44.299066208965904], [-76.50439398254845, 44.299066736292886], [-76.50441211277476, 44.2990661398037], [-76.50443011794727, 44.2990644239326], [-76.50444786421694, 44.29906160143524], [-76.50446521965942, 44.29905769329384], [-76.50448205525569, 44.29905272856122], [-76.50449862433067, 44.299047226390385], [-76.50456594746848, 44.29901952325136], [-76.50463458431842, 44.29899393259456], [-76.50470602851843, 44.29897274748782], [-76.50477972898403, 44.29895613134233], [-76.50485511722707, 44.29894421232667], [-76.50493161174069, 44.29893708237809], [-76.50500861944121, 44.29893498670969], [-76.50507867541938, 44.29894371927793], [-76.50514700028451, 44.29895781408678], [-76.505212093622, 44.29897809685531], [-76.50529621601657, 44.29898610820661], [-76.50538117518447, 44.298987748739044], [-76.50546608186954, 44.298984147319345], [-76.50555031049932, 44.298975330481916], [-76.50563324049706, 44.29896136318715], [-76.50571426085408, 44.2989423483428], [-76.5057927746314, 44.298918426045745], [-76.505868203358, 44.29888977254985], [-76.50594230199896, 44.29885896839449], [-76.50595476153669, 44.29885244825997], [-76.50596753353774, 44.29884631694815], [-76.5059810059476, 44.29884102394936], [-76.5059950713049, 44.298836611482706], [-76.50600961741863, 44.2988331147438], [-76.50602452826313, 44.29883056162405], [-76.50603968490348, 44.29882897248816], [-76.5060549664442, 44.29882836001173], [-76.50607025099352, 44.298828729080114], [-76.50608541663573, 44.29883007674948], [-76.50610034240353, 44.29883239227026], [-76.50611490924297, 44.298835657172944], [-76.50612900096304, 44.29883984541533], [-76.5061425051625, 44.298844923590316], [-76.5061553141264, 44.29885085119232], [-76.50616682789594, 44.29885799806193], [-76.50620300644204, 44.29886349348485], [-76.50628301792007, 44.29884850164332], [-76.50632735851272, 44.29884791681413], [-76.50645227042062, 44.298854233213554], [-76.50690121902461, 44.298848310355226], [-76.50694257044577, 44.29885454340898], [-76.50698266145562, 44.29886411224828], [-76.50702128895207, 44.298876355037834], [-76.5070581106676, 44.29889116329767], [-76.50709280033524, 44.29890840581592], [-76.50712367466981, 44.2989289943557], [-76.50718623415501, 44.298968381858614], [-76.50725581021284, 44.29900125724299], [-76.50732899666343, 44.29902984462367], [-76.50740528816343, 44.29905394660833], [-76.50748493968867, 44.29907155696234], [-76.50754301354101, 44.29911497099494], [-76.50759577956738, 44.29916174941108], [-76.50764286140162, 44.29921155856384], [-76.50768392321746, 44.29926404318877], [-76.50770687454236, 44.29928515450039], [-76.50773365159189, 44.299303824660505], [-76.5077625706939, 44.29932076935165], [-76.50779342052125, 44.29933586475002], [-76.50782597563791, 44.29934900054554], [-76.50785999814646, 44.299360080748016], [-76.50789523942642, 44.29936902438855], [-76.50793144195113, 44.299375766111226], [-76.5079683411696, 44.299380256650714], [-76.50800566743972, 44.299382463192266], [-76.5080431479987, 44.29938236961152], [-76.50808055659613, 44.299380253482056], [-76.50814031907447, 44.29937799270224], [-76.50819959165482, 44.29937178505245], [-76.50825789295214, 44.2993617732961], [-76.50831540418123, 44.299349278921895], [-76.50836567155139, 44.299339926071156], [-76.50841619369471, 44.299331663383185], [-76.50846726537243, 44.299325372588264], [-76.50850348738317, 44.2993168152286], [-76.50853883628128, 44.29930659978455], [-76.50857284292653, 44.29929422363201], [-76.50860623357879, 44.299280824234124], [-76.50865004138902, 44.29923407208527], [-76.50870540361937, 44.299136375308414], [-76.5089648204391, 44.29872199998379], [-76.50902542664578, 44.29857806029677], [-76.50904269742537, 44.298499336218555], [-76.50907546635179, 44.29827265083119], [-76.50912167980118, 44.298068874951284], [-76.5091224310184, 44.2978472302335], [-76.50911858650139, 44.297823717835854], [-76.50911801936306, 44.29780001459532], [-76.50912027693042, 44.29777634532612], [-76.509125342655, 44.29775288352921], [-76.50913317940393, 44.297729801184694], [-76.50914372973212, 44.29770726749121], [-76.50915691630334, 44.29768544762568], [-76.50917264245714, 44.297664501532495], [-76.50919079291738, 44.29764458275112], [-76.50921123463719, 44.29762583729057], [-76.5092338177743, 44.2976084025592], [-76.50925732063166, 44.297591491386775], [-76.50936923531661, 44.29747382777], [-76.50946912364678, 44.29735070764093], [-76.50955647224245, 44.29722276387584], [-76.50968824479617, 44.29709635177706], [-76.509731813553, 44.297040367123735], [-76.51019640283127, 44.29660480684382], [-76.5102599611244, 44.29657626245575], [-76.51144980520226, 44.295341529921465], [-76.51161609401846, 44.29518822433137], [-76.51179419885676, 44.295041925428954], [-76.51198354845803, 44.294903102385966], [-76.511999964164, 44.29488419949703], [-76.51201521651319, 44.29486488889797], [-76.51202800868032, 44.294844688562335], [-76.51203823753353, 44.294823761347445], [-76.51204582060669, 44.29480227597082], [-76.51205069676423, 44.29478040564992], [-76.51205282669403, 44.294758326705676], [-76.51205219322436, 44.29473621714098], [-76.51204880146233, 44.29471425520556], [-76.51204267875269, 44.29469261795897], [-76.5120338744574, 44.294671479843075], [-76.51202142973322, 44.29465135252358], [-76.51185928098627, 44.29447656397565], [-76.51183397589013, 44.294450616273814], [-76.51180391418431, 44.294427401693866], [-76.51177100544022, 44.29440627350828], [-76.51173552416455, 44.29438740795679], [-76.51169776632264, 44.29437096240547], [-76.5116580468697, 44.29435707403412], [-76.51161669712361, 44.294345858691884], [-76.51157406200132, 44.29433740993101], [-76.51153040020013, 44.29433229186018], [-76.51132681523355, 44.294339243340836], [-76.51112331856834, 44.29433447158023], [-76.51092200030652, 44.294314217741984]]}";44.2962639558,-76.5061237675
86;Little Cataraqui Creek CA Trails;WALKING, CROSS-COUNTRY SKIING, SNOWSHOEING;Park Trail;Little Cataraqui Creek CA Trails;No;"{""type"": ""LineString"", ""coordinates"": [[-76.51093500910063, 44.292326369563185], [-76.51096883795097, 44.29248720651672], [-76.51099408986963, 44.29259551209839], [-76.51101618288567, 44.29269740344123], [-76.5110582839033, 44.292878626159236], [-76.51111808863139, 44.29310694319006], [-76.5111828191823, 44.29341048678411], [-76.51119289229865, 44.293511457671976], [-76.51119275277512, 44.293564170966896], [-76.511192002352, 44.29357107716638], [-76.51119091291378, 44.2935779608429], [-76.51118949675991, 44.29358481283071], [-76.51118774112898, 44.293591624295715], [-76.51118651224432, 44.293595612663836]]}";44.292959607,-76.5110772738
87;Little Cataraqui Creek CA Trails;WALKING, CROSS-COUNTRY SKIING, SNOWSHOEING;Park Trail;Little Cataraqui Creek CA Trails;No;"{""type"": ""LineString"", ""coordinates"": [[-76.51118651224432, 44.293595612663836], [-76.5112635393792, 44.29359400190575], [-76.5116347409185, 44.2935290637883], [-76.51235916421274, 44.293450211345984], [-76.51265336237432, 44.29339090632354], [-76.51288436203605, 44.29337399453218]]}";44.2934835929,-76.512035295
88;Greenwood Park Trail;WALKING, BICYCLING;Park Trail;Greenwood Park Trail;Yes;"{""type"": ""LineString"", ""coordinates"": [[-76.43918625627003, 44.26838657998319], [-76.4397321423292, 44.26855363615498]]}";44.2684701081,-76.4394591993
